repeat,fold,n_train,n_test,n_estimators,fit_seconds
23,2,455,114,8000,4.873221957997885
23,3,455,114,8000,4.843845499999588
23,4,456,113,8000,4.853794041991932
24,0,455,114,8000,4.852245207992382
24,1,455,114,8000,4.852267167007085
24,2,455,114,8000,4.8584262910007965
24,3,455,114,8000,4.86196745801135
24,4,456,113,8000,4.866303000017069
25,0,455,114,8000,4.851818541996181
25,1,455,114,8000,4.853549457999179
25,2,455,114,8000,4.858452665997902
25,3,455,114,8000,4.8814094589906745
25,4,456,113,8000,4.8694574169931
26,0,455,114,8000,4.861358459020266
26,1,455,114,8000,4.862785000004806
26,2,455,114,8000,4.963410958007444
26,3,455,114,8000,4.885174708004342
26,4,456,113,8000,4.8742068329884205
27,0,455,114,8000,4.866478665993782
27,1,455,114,8000,4.8787012079847045
27,2,455,114,8000,4.842994167003781
27,3,455,114,8000,4.852191125013633
27,4,456,113,8000,4.862043583998457
28,0,455,114,8000,4.877426791994367
28,1,455,114,8000,4.86566904198844
28,2,455,114,8000,4.857357583998237
28,3,455,114,8000,4.872879666014342
28,4,456,113,8000,4.855805750004947
29,0,455,114,8000,4.8468988749955315
29,1,455,114,8000,4.8566883339954074
29,2,455,114,8000,4.844025792001048
29,3,455,114,8000,4.838380416011205
29,4,456,113,8000,4.859130708005978
30,0,455,114,8000,4.851414458011277
30,1,455,114,8000,4.844075250002788
30,2,455,114,8000,4.85996495798463
30,3,455,114,8000,4.851236625021556
30,4,456,113,8000,4.850712165993173
31,0,455,114,8000,4.835175125015667
31,1,455,114,8000,4.851178417011397
31,2,455,114,8000,4.864995083014946
31,3,455,114,8000,4.851586291973945
31,4,456,113,8000,4.85710762499366
32,0,455,114,8000,4.856544540991308
32,1,455,114,8000,4.855185374995926
32,2,455,114,8000,4.842166457994608
32,3,455,114,8000,4.858590916002868
32,4,456,113,8000,4.866155124997022
33,0,455,114,8000,4.87201183399884
33,1,455,114,8000,4.86239866699907
33,2,455,114,8000,4.845145375002176
33,3,455,114,8000,4.866959042003145
33,4,456,113,8000,4.83827283300343
34,0,455,114,8000,4.8554423750028946
34,1,455,114,8000,4.856086832995061
34,2,455,114,8000,4.900070125004277
34,3,455,114,8000,4.863441958004842
34,4,456,113,8000,4.84817795798881
35,0,455,114,8000,4.86324874998536
35,1,455,114,8000,4.865097166999476
35,2,455,114,8000,4.849224582983879
35,3,455,114,8000,4.846900374977849
35,4,456,113,8000,4.850045458995737
36,0,455,114,8000,4.8573433329875115
36,1,455,114,8000,4.863105625001481
36,2,455,114,8000,4.846391125000082
36,3,455,114,8000,4.84722804199555
36,4,456,113,8000,4.855759708007099
37,0,455,114,8000,4.8454467080009636
37,1,455,114,8000,4.848397416993976
37,2,455,114,8000,4.870928999996977
37,3,455,114,8000,4.846054124995135
37,4,456,113,8000,4.8547365839767735
38,0,455,114,8000,4.858390250010416
38,1,455,114,8000,4.846361000003526
38,2,455,114,8000,4.853047500015236
38,3,455,114,8000,4.858774207998067
38,4,456,113,8000,4.85198741700151
39,0,455,114,8000,4.850568291003583
39,1,455,114,8000,4.872850000014296
39,2,455,114,8000,4.872781750018476
39,3,455,114,8000,4.871451999992132
39,4,456,113,8000,4.857209167006658
40,0,455,114,8000,4.8678142499993555
40,1,455,114,8000,4.904763707978418
40,2,455,114,8000,4.85676858399529
40,3,455,114,8000,4.85773583399714
40,4,456,113,8000,4.858963334001601
41,0,455,114,8000,4.857659166998928
41,1,455,114,8000,4.861796207987936
41,2,455,114,8000,4.8634457500011194
41,3,455,114,8000,4.859273374982877
41,4,456,113,8000,4.873629250010708
42,0,455,114,8000,4.84605358398403
42,1,455,114,8000,4.8746947910112794
42,2,455,114,8000,4.873354457988171
42,3,455,114,8000,4.842842500016559
42,4,456,113,8000,4.846650416991906
43,0,455,114,8000,4.852915333991405
43,1,455,114,8000,4.885026125004515
43,2,455,114,8000,4.8485902909887955
43,3,455,114,8000,4.863038832991151
43,4,456,113,8000,4.848288207984297
44,0,455,114,8000,4.858011542004533
44,1,455,114,8000,4.858626291999826
44,2,455,114,8000,4.847009999997681
44,3,455,114,8000,4.849778500007233
44,4,456,113,8000,4.844690500001889
45,0,455,114,8000,4.8478638749802485
45,1,455,114,8000,4.837893999996595
45,2,455,114,8000,4.855430666997563
45,3,455,114,8000,4.870470499998191
45,4,456,113,8000,4.91262041599839
46,0,455,114,8000,4.859539625002071
46,1,455,114,8000,4.889817542018136
46,2,455,114,8000,4.862569375021849
46,3,455,114,8000,4.866009124991251
46,4,456,113,8000,4.860764915996697
47,0,455,114,8000,4.852102875011042
47,1,455,114,8000,4.854287458001636
47,2,455,114,8000,4.856015832978301
47,3,455,114,8000,4.847157707990846
47,4,456,113,8000,4.849847624980612
48,0,455,114,8000,4.8618080409942195
48,1,455,114,8000,4.858409916982055
48,2,455,114,8000,4.860141249984736
48,3,455,114,8000,4.861015417001909
48,4,456,113,8000,4.858139291987754
49,0,455,114,8000,4.868214916990837
49,1,455,114,8000,4.856823083013296
49,2,455,114,8000,4.868616583000403
49,3,455,114,8000,4.852837291022297
49,4,456,113,8000,4.850238582992461
